scene,source_id,target_id,method,initial_rmse_m,rre_deg,rte_m,rmse_m,mean_nn_distance_m,mean_euclidean_distance_m,mean_abs_point_to_plane_error_m,iterations,runtime_s
7-scenes-redkitchen,4,1,point_to_plane,0.308300655768134,4.1685806997168795,0.08132456485690831,0.08486279883621327,0.21543668426706317,0.21543668426706317,0.02469950983862137,24,0.18514859999413602
7-scenes-redkitchen,4,1,point_to_point,0.308300655768134,15.326024872891907,0.231073290465311,0.4919558139626385,0.21656879790286226,0.21655252236237027,nan,24,0.21912809999776073
7-scenes-redkitchen,5,1,point_to_plane,0.21517173914713028,3.64798818799553,0.06391074115526975,0.09567118660522252,0.36828613607299665,0.36828613607299665,0.028288882813229103,18,0.15499730000738055
7-scenes-redkitchen,5,1,point_to_point,0.21517173914713028,16.878805888406276,1.252330581469708,0.7523057729241744,0.24501471002700853,0.2450037656152664,nan,21,0.1707219999807421
7-scenes-redkitchen,10,1,point_to_plane,0.2617183990215194,3.7889466936340246,0.05936321930018452,0.0974234778115514,0.2865200451779555,0.2865200451779555,0.03337118021945188,17,0.14178829998127185
7-scenes-redkitchen,10,1,point_to_point,0.2617183990215194,14.280245312636405,1.0234715144211388,0.5176903616432722,0.23988406099407153,0.23985361215486975,nan,33,0.2766221000056248
7-scenes-redkitchen,11,1,point_to_plane,0.2616051393139597,3.5345076321877893,0.07154146380581645,0.0746428518028111,0.1786890387805101,0.1786890387805101,0.021954803447964317,14,0.10307799998554401
7-scenes-redkitchen,11,1,point_to_point,0.2616051393139597,9.052031120722395,0.4617938485706867,0.323336751639851,0.1929017051892854,0.19286850587048435,nan,48,0.41513180002220906
7-scenes-redkitchen,12,1,point_to_plane,0.09765930006443425,3.3476735078920243,0.06870121681365551,0.0627783194971764,0.08109848889861543,0.08109848889861543,0.021951101670838274,10,0.060115500004030764
7-scenes-redkitchen,12,1,point_to_point,0.09765930006443425,7.317088565798718,0.10188150876113838,0.17413648126292441,0.09346279513074021,0.09344797255213459,nan,37,0.21295699998154305
7-scenes-redkitchen,13,1,point_to_plane,0.13936433848794316,3.890208574647345,0.08035688071888485,0.06228461879168346,0.0754997410924537,0.0754997410924537,0.022697453771396703,13,0.06959540001116693
7-scenes-redkitchen,13,1,point_to_point,0.13936433848794316,6.533558242254061,0.10026532966180125,0.1460048742454378,0.08624527302623017,0.08623398728717335,nan,37,0.18698420000146143
7-scenes-redkitchen,14,1,point_to_plane,0.19888795042833624,3.216437078022695,0.06150724966080959,0.04163005468548219,0.07046940327856488,0.07046940327856488,0.01910555406232253,50,0.2480879999930039
7-scenes-redkitchen,14,1,point_to_point,0.19888795042833624,7.076470431965763,0.09914728305422757,0.09253939360719317,0.07579681989525427,0.07578530075185008,nan,25,0.11486719999811612
7-scenes-redkitchen,26,1,point_to_plane,0.16725008083905166,3.4150572353357265,0.059212288903798094,0.062465712760559,0.2986148826960014,0.2986148826960014,0.028077934615113074,14,0.13870959999621846
7-scenes-redkitchen,26,1,point_to_point,0.16725008083905166,14.688413303409712,1.0088163784789774,0.6432545438631864,0.20486671033645967,0.20483524086958527,nan,50,0.46776200001477264
7-scenes-redkitchen,27,1,point_to_plane,0.2103951592490049,3.1356383298079695,0.06723541131093044,0.05114268988472398,0.14805952661884667,0.14805952661884667,0.031949325355765834,15,0.1508118999772705
7-scenes-redkitchen,27,1,point_to_point,0.2103951592490049,10.62572112120518,0.4088230208095851,0.20936191345232802,0.14718498470089278,0.14713811419659853,nan,50,0.459435199998552
7-scenes-redkitchen,28,1,point_to_plane,0.21156596612682246,2.840669589781118,0.08122287751553732,0.04418305130074401,0.1346466422754506,0.1346466422754506,0.024536842404531592,19,0.14252959997975267
7-scenes-redkitchen,28,1,point_to_point,0.21156596612682246,11.724978262562948,0.34761595207865764,0.2552673387871281,0.1327736299912977,0.13273794088961657,nan,20,0.15150550001999363
7-scenes-redkitchen,29,1,point_to_plane,0.28282417984626074,2.787412197268895,0.05922471978550487,0.05021631860929727,0.13514582773967865,0.13514582773967865,0.022526027835251112,15,0.08809629999450408
7-scenes-redkitchen,29,1,point_to_point,0.28282417984626074,14.109789760856568,0.2863878308889378,0.28167182556389236,0.132835612847946,0.13279751043022037,nan,26,0.16215079999528825
7-scenes-redkitchen,31,1,point_to_plane,0.2773755421138342,2.4339779531305403,0.042690591939408655,0.04288415462255532,0.18310265931432596,0.18310265931432596,0.01982281968573456,14,0.07187930002692156
7-scenes-redkitchen,31,1,point_to_point,0.2773755421138342,10.390339406095904,1.041062943207519,0.9919651963098479,0.126029657800599,0.12610185657960699,nan,50,0.2799779000051785
7-scenes-redkitchen,32,1,point_to_plane,0.2803556980584701,2.8420189871804227,0.04960090385804414,0.04320441842935334,0.3413160793134643,0.3413160793134643,0.013713839456106639,19,0.11819380000815727
7-scenes-redkitchen,32,1,point_to_point,0.2803556980584701,4.263611903754256,1.062663991057968,1.1548568559174213,0.1247737476445461,0.12472354767850295,nan,50,0.2965857000090182
7-scenes-redkitchen,40,1,point_to_plane,0.1461032351065185,2.385283797233703,0.08072588442137313,0.0712500673625428,0.361123245859833,0.361123245859833,0.025837766774012776,16,0.19171410001581535
7-scenes-redkitchen,40,1,point_to_point,0.1461032351065185,56.482128661916825,1.522865377853845,1.1801268093113695,0.16825500610994093,0.16824884044352686,nan,41,0.41957240001647733
